,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.6817265152931213,0.7603254318237305,0.5778030157089233,0.7945312261581421
1,0.5725162625312805,0.7897371649742126,0.5260269045829773,0.7992187738418579
2,0.5290217399597168,0.7934374809265137,0.5311815142631531,0.8046875
3,0.4900069534778595,0.8149999976158142,0.4695093035697937,0.8238281011581421
4,0.47455158829689026,0.8191489577293396,0.5419542789459229,0.807812511920929
5,0.4652024209499359,0.8246874809265137,0.4571766257286072,0.833203136920929
6,0.45077618956565857,0.8244680762290955,0.44910478591918945,0.8246093988418579
7,0.42986777424812317,0.8274999856948853,0.47526344656944275,0.807421863079071
8,0.3768564462661743,0.8491864800453186,0.4247811734676361,0.845703125
9,0.3691213130950928,0.8490625023841858,0.4026613235473633,0.832812488079071
10,0.3660639822483063,0.8506249785423279,0.4251956343650818,0.840624988079071
11,0.3366275131702423,0.8650000095367432,0.39914971590042114,0.842578113079071
12,0.33680981397628784,0.8696874976158142,0.4086799621582031,0.8304687738418579
13,0.3208073377609253,0.8792240023612976,0.3730892837047577,0.8558593988418579
14,0.27992504835128784,0.8926783204078674,0.40089768171310425,0.852343738079071
15,0.2518748641014099,0.8965625166893005,0.41654548048973083,0.849609375
16,0.252619206905365,0.9018750190734863,0.4025789201259613,0.864453136920929
17,0.23042351007461548,0.9167709350585938,0.388388454914093,0.846484363079071
18,0.2515600621700287,0.9073842167854309,0.43367069959640503,0.857421875
19,0.21366409957408905,0.9237499833106995,0.4266357421875,0.84765625
20,0.2004360854625702,0.9255319237709045,0.44672131538391113,0.8382812738418579
21,0.18893222510814667,0.9281250238418579,0.4101549983024597,0.8519531488418579
22,0.1611674427986145,0.9374217987060547,0.45503535866737366,0.8515625
23,0.16322830319404602,0.9418749809265137,0.4608258306980133,0.850781261920929
24,0.143158957362175,0.9461827278137207,0.5369560122489929,0.856249988079071
25,0.1187070831656456,0.9574999809265137,0.5206953883171082,0.8539062738418579
26,0.11111330986022949,0.9615625143051147,0.4982651174068451,0.8421875238418579
27,0.10477031022310257,0.9643750190734863,0.5118626952171326,0.864453136920929
28,0.09914874285459518,0.964062511920929,0.5725841522216797,0.825390636920929
29,0.10469602793455124,0.9621875286102295,0.562289297580719,0.846875011920929
30,0.06886043399572372,0.9778125286102295,0.6122565865516663,0.85546875
31,0.0666162520647049,0.9809374809265137,0.6394251585006714,0.856249988079071
32,0.07306165248155594,0.9774718284606934,0.6376935243606567,0.850781261920929
33,0.06542117893695831,0.981249988079071,0.6701169013977051,0.8421875238418579
34,0.04492934048175812,0.9862328171730042,0.8155258297920227,0.848437488079071
35,0.0665641576051712,0.9753124713897705,0.6766803860664368,0.8531249761581421
36,0.040204111486673355,0.987500011920929,0.6878100633621216,0.8667968511581421
37,0.06550296396017075,0.9778125286102295,0.7449410557746887,0.854687511920929
38,0.03632916882634163,0.9871875047683716,0.8176977038383484,0.837109386920929
39,0.05414266511797905,0.9818750023841858,0.8033005595207214,0.852343738079071
40,0.03639880567789078,0.9878125190734863,0.8408334851264954,0.8238281011581421
41,0.044209305197000504,0.9846875071525574,0.7877518534660339,0.8433593511581421
42,0.05591641366481781,0.9781249761581421,0.7495554685592651,0.84765625
43,0.03782599791884422,0.9884374737739563,0.7738093733787537,0.839062511920929
44,0.028391577303409576,0.9906132817268372,0.7575937509536743,0.850781261920929
45,0.010515481233596802,0.9956250190734863,0.8488534092903137,0.8628906011581421
46,0.017767997458577156,0.9950000047683716,0.9872351884841919,0.85546875
47,0.049105752259492874,0.9837296605110168,0.9924421310424805,0.8324218988418579
48,0.04894527792930603,0.9837499856948853,0.8615621328353882,0.852734386920929
49,0.029218561947345734,0.9893749952316284,0.7660507559776306,0.8511718511581421
